,date,bx,team,home_away,opponent,win_loss,runs,runs_allowed,innings,record,rank,games_behind_raw,win_pitcher,loss_pitcher,save_pitcher,game_time,day_night_raw,attendance,streak_raw,schedule_comment,IfWeekend,home,night_game,win_loss_new,win_total,loss_total,streak,game_duration,games_behind,actual_date,rain
30,326073600,boxscore,ATL,,SDP,L,2,11,9,15//16,3,2.5,Strahm,Foltynewicz,,2:53,D,0.4499990524739904,-,,0,1,0,L,15,16,-1,173,5.0,"Thursday, May 2 1980",0.0
31,326160000,boxscore,ATL,@,MIA,W,7,2,9,16//16,2,2.5,Toussaint,Urena,,3:08,N,0.13640584434042716,+,,1,0,1,W,16,16,1,188,5.0,"Friday, May 3 1980",0.0
32,326246400,boxscore,ATL,@,MIA,W,9,2,9,17//16,2,1.5,Soroka,Anderson,,3:15,N,0.19384487104171008,++,,1,0,1,W,17,16,2,195,5.0,"Saturday, May 4 1980",0.0
33,326332800,boxscore,ATL,@,MIA,W,3,1,10,18//16,2,1.5,Tomlin,Guerrero,Jackson,3:29,D,0.22522693247929657,+++,,1,0,0,W,18,16,3,209,5.0,"Sunday, May 5 1980",0.0
34,326419200,boxscore,ATL,@,LAD,L,3,5,9,18//17,2,1.5,Buehler,Gausman,Urias,2:45,N,0.8223199226818776,-,,0,0,1,L,18,17,-1,165,5.0,"Monday, May 6 1980",0.0
35,326505600,boxscore,ATL,@,LAD,L,0,9,9,18//18,2,2.5,Ryu,Fried,,2:42,N,0.897060774318255,--,,0,0,1,L,18,18,-2,162,5.0,"Tuesday, May 7 1980",0.0
36,326592000,boxscore,ATL,@,LAD,L,4,9,9,18//19,2,3.5,Kershaw,Foltynewicz,,2:58,N,1.0177755879398889,---,,0,0,1,L,18,19,-3,178,5.0,"Wednesday, May 8 1980",0.0
37,326678400,boxscore,ATL,@,ARI,L-wo,2,3,10,18//20,2,4.0,Duplantier,Minter,,3:13,N,0.33639068392427374,----,,0,0,1,L,18,20,-4,193,0.0,"Thursday, May 9 1980",0.0
38,326764800,boxscore,ATL,@,ARI,W,2,1,9,19//20,2,3.0,Winkler,Lopez,Jackson,3:00,N,0.4156228088461028,+,,1,0,1,W,19,20,1,180,0.0,"Friday, May 10 1980",0.0
39,326851200,boxscore,ATL,@,ARI,W,6,4,9,20//20,2,3.0,Gausman,Kelly,Venters,3:09,N,0.6285508537209347,++,,1,0,1,W,20,20,2,189,0.0,"Saturday, May 11 1980",0.0
40,326937600,boxscore,ATL,@,ARI,W,5,3,9,21//20,2,3.0,Fried,Godley,Jackson,3:21,D,0.5203812844662586,+++,,1,0,0,W,21,20,3,201,0.0,"Sunday, May 12 1980",0.0
41,327110400,boxscore,ATL,,STL,L,3,14,9,21//21,2,3.5,Flaherty,Foltynewicz,,3:00,N,0.44946843790862057,-,,0,1,1,L,21,21,-1,180,5.0,"Tuesday, May 14 1980",0.0
42,327196800,boxscore,ATL,,STL,W,4,0,9,22//21,2,2.5,Soroka,Wacha,Jackson,2:40,N,0.4428168053213061,+,,0,1,1,W,22,21,1,160,5.0,"Wednesday, May 15 1980",0.0
43,327283200,boxscore,ATL,,STL,W,10,2,9,23//21,2,1.5,Teheran,Wainwright,,3:16,N,0.5454528226799825,++,,0,1,1,W,23,21,2,196,5.0,"Thursday, May 16 1980",0.0
44,327369600,boxscore,ATL,,MIL,W,12,8,9,24//21,2,1.5,Fried,Chacin,Jackson,3:25,N,0.6864257423866286,+++,,1,1,1,W,24,21,3,205,5.0,"Friday, May 17 1980",0.0
45,327456000,boxscore,ATL,,MIL,W-wo,4,3,10,25//21,2,1.5,Webb,Hader,,3:34,N,0.7413633004225966,++++,,1,1,1,W,25,21,4,214,5.0,"Saturday, May 18 1980",0.0
46,327542400,boxscore,ATL,,MIL,L,2,3,10,25//22,2,2.5,Hader,Parsons,,2:44,D,0.6926036119691485,-,,1,1,0,L,25,22,-1,164,5.0,"Sunday, May 19 1980",0.0
47,327628800,boxscore,ATL,@,SFG,W,4,1,9,26//22,2,2.5,Soroka,Suarez,Newcomb,2:23,N,0.5650097595178988,+,,0,0,1,W,26,22,1,143,5.0,"Monday, May 20 1980",39.4
48,327715200,boxscore,ATL,@,SFG,L-wo,3,4,9,26//23,2,2.5,Gott,Jackson,,3:16,N,0.5311830809755728,-,,0,0,1,L,26,23,-1,196,5.0,"Tuesday, May 21 1980",0.0
49,327801600,boxscore,ATL,@,SFG,W,9,2,9,27//23,2,1.5,Fried,Samardzija,,2:48,N,0.5950842350622525,+,,0,0,1,W,27,23,1,168,5.0,"Wednesday, May 22 1980",11.799999999999999
50,327888000,boxscore,ATL,@,SFG,W,5,4,13,28//23,2,1.5,Jackson,Moronta,,4:21,D,0.6151907369857302,++,,0,0,0,W,28,23,2,261,5.0,"Thursday, May 23 1980",0.0
51,327974400,boxscore,ATL,@,STL,W,5,2,9,29//23,2,1.5,Foltynewicz,Mikolas,,2:44,N,0.8457617161591086,+++,,1,0,1,W,29,23,3,164,5.0,"Friday, May 24 1980",0.0
52,328060800,boxscore,ATL,@,STL,L,3,6,9,29//24,2,2.5,Miller,Winkler,Hicks,2:40,N,0.8671758039758192,-,,1,0,1,L,29,24,-1,160,5.0,"Saturday, May 25 1980",220.4
53,328147200,boxscore,ATL,@,STL,W,4,3,10,30//24,2,1.5,Webb,Webb,Jackson,4:07,N,0.8556538876992174,+,,1,0,1,W,30,24,1,247,5.0,"Sunday, May 26 1980",0.0
54,328320000,boxscore,ATL,,WSN,L,4,5,9,30//25,2,2.5,Strasburg,Fried,Doolittle,3:21,N,0.5225226932479297,-,,0,1,1,L,30,25,-1,201,5.0,"Tuesday, May 28 1980",0.0
55,328406400,boxscore,ATL,,WSN,L,4,14,9,30//26,2,3.5,Sanchez,Gausman,McGowin,3:11,N,0.7149273247550645,--,,0,1,1,L,30,26,-2,191,5.0,"Wednesday, May 29 1980",0.0
56,328579200,boxscore,ATL,,DET,L,2,8,9,30//27,2,3.0,Turnbull,Foltynewicz,,2:52,N,0.6731982792927665,---,,1,1,1,L,30,27,-3,172,0.0,"Friday, May 31 1980",0.0
57,328665600,boxscore,ATL,,DET,W,10,5,9,31//27,2,2.0,Soroka,Norris,Jackson,2:51,D,0.7032159032765449,+,,1,1,0,W,31,27,1,171,0.0,"Saturday, Jun 1 1980",0.0
58,328752000,boxscore,ATL,,DET,W,7,4,9,32//27,2,1.0,Toussaint,Jimenez,,3:18,D,0.5491481741173795,++,,1,1,0,W,32,27,2,198,0.0,"Sunday, Jun 2 1980",0.0
59,328924800,boxscore,ATL,@,PIT,W,12,5,9,33//27,2,0.5,Winkler,Crick,,3:46,N,0.2646061134378139,+++,,0,0,1,W,33,27,3,226,5.0,"Tuesday, Jun 4 1980",0.0
60,329011200,boxscore,ATL,@,PIT,L,4,7,9,33//28,2,1.5,Musgrove,Gausman,,2:48,N,0.2634880327464989,-,,0,0,1,L,33,28,-1,168,5.0,"Wednesday, Jun 5 1980",0.0
61,329097600,boxscore,ATL,@,PIT,L,1,6,9,33//29,2,2.0,Archer,Foltynewicz,Vazquez,2:58,D,0.34550588413651956,--,,0,0,0,L,33,29,-2,178,0.0,"Thursday, Jun 6 1980",0.0
62,329184000,boxscore,ATL,@,MIA,W,7,1,9,34//29,2,2.0,Soroka,Urena,,2:42,N,0.1627660179271921,+,,1,0,1,W,34,29,1,162,0.0,"Friday, Jun 7 1980",0.0
63,329270400,boxscore,ATL,@,MIA,W,1,0,9,35//29,2,2.0,Teheran,Richards,Jackson,2:57,D,0.18516553279387518,++,,1,0,0,W,35,29,2,177,0.0,"Saturday, Jun 8 1980",0.0
64,329356800,boxscore,ATL,@,MIA,W,7,6,12,36//29,2,1.0,Winkler,Conley,Tomlin,4:26,D,0.20767875078170897,+++,,1,0,0,W,36,29,3,266,0.0,"Sunday, Jun 9 1980",0.0
65,329443200,boxscore,ATL,,PIT,W,13,7,9,37//29,1,Tied,Newcomb,McRae,Webb,3:35,N,0.4135382516250071,++++,,0,1,1,W,37,29,4,215,0.0,"Monday, Jun 10 1980",0.0
66,329529600,boxscore,ATL,,PIT,W,7,5,8,38//29,1,Tied,Toussaint,Archer,Swarzak,3:15,N,0.5932460346036499,+++++,,0,1,1,W,38,29,5,195,0.0,"Tuesday, Jun 11 1980",0.0
67,329616000,boxscore,ATL,,PIT,W-wo,8,7,11,39//29,1,up 1.0,Webb,Feliz,,4:17,N,0.46292330724478387,++++++,,0,1,1,W,39,29,6,257,1.0,"Wednesday, Jun 12 1980",0.0
68,329702400,boxscore,ATL,,PIT,W,6,5,9,40//29,1,up 1.5,Teheran,Musgrove,Jackson,3:30,D,0.6653148628929864,+++++++,,0,1,0,W,40,29,7,210,1.5,"Thursday, Jun 13 1980",0.0
69,329788800,boxscore,ATL,,PHI,W-wo,9,8,9,41//29,1,up 2.5,Blevins,Neris,,3:30,N,0.7954480850499346,++++++++,,1,1,1,W,41,29,8,210,2.5,"Friday, Jun 14 1980",0.0
70,329875200,boxscore,ATL,,PHI,L,5,6,9,41//30,1,up 1.5,Ramos,Jackson,Neris,3:55,N,0.8261100267202335,-,,1,1,1,L,41,30,-1,235,1.5,"Saturday, Jun 15 1980",0.0
71,329961600,boxscore,ATL,,PHI,W,15,1,9,42//30,1,up 2.5,Foltynewicz,Velasquez,,3:09,D,0.7742235024351418,+,,1,1,0,W,42,30,1,189,2.5,"Sunday, Jun 16 1980",0.0
72,330048000,boxscore,ATL,,NYM,W,12,3,9,43//30,1,up 3.0,Soroka,Wheeler,,3:05,N,0.4673198279292767,++,,0,1,1,W,43,30,2,185,3.0,"Monday, Jun 17 1980",0.0
73,330134400,boxscore,ATL,,NYM,L,2,10,9,43//31,1,up 2.5,deGrom,Teheran,,3:04,N,0.47321343970892,-,,0,1,1,L,43,31,-1,184,2.5,"Tuesday, Jun 18 1980",0.0
74,330220800,boxscore,ATL,,NYM,W,7,2,9,44//31,1,up 4.0,Fried,Matz,,3:03,N,0.7031401011957779,+,,0,1,1,W,44,31,1,183,4.0,"Wednesday, Jun 19 1980",0.0
75,330393600,boxscore,ATL,@,WSN,L,3,4,9,44//32,1,up 4.5,Strasburg,Keuchel,Suero,3:01,N,0.6483351968011521,-,,1,0,1,L,44,32,-1,181,4.5,"Friday, Jun 21 1980",0.0
76,330480000,boxscore,ATL,@,WSN,W,13,9,9,45//32,1,up 5.5,Minter,Ross,,3:42,N,0.7104929030301882,+,,1,0,1,W,45,32,1,222,5.5,"Saturday, Jun 22 1980",0.0
77,330566400,boxscore,ATL,@,WSN,W,4,3,10,46//32,1,up 6.5,Minter,Rainey,Jackson,3:09,D,0.6491690196895905,++,,1,0,0,W,46,32,2,189,6.5,"Sunday, Jun 23 1980",0.0
78,330652800,boxscore,ATL,@,CHC,L,3,8,9,46//33,1,up 5.5,Lester,Teheran,,3:01,N,0.7125964107714757,-,,0,0,1,L,46,33,-1,181,5.5,"Monday, Jun 24 1980",0.0
79,330739200,boxscore,ATL,@,CHC,W,3,2,9,47//33,1,up 5.5,Fried,Montgomery,Jackson,2:59,N,0.7074797703196952,+,,0,0,1,W,47,33,1,179,5.5,"Tuesday, Jun 25 1980",0.0
80,330825600,boxscore,ATL,@,CHC,W,5,3,9,48//33,1,up 5.5,Keuchel,Darvish,Minter,3:02,N,0.7204419261308723,++,,0,0,1,W,48,33,2,182,5.5,"Wednesday, Jun 26 1980",798.8
81,330912000,boxscore,ATL,@,CHC,L,7,9,9,48//34,1,up 4.5,Chatwood,Tomlin,Kimbrel,3:02,D,0.7546665655972257,-,,0,0,0,L,48,34,-1,182,4.5,"Thursday, Jun 27 1980",19.7
82,330998400,boxscore,ATL,@,NYM,W,6,2,9,49//34,1,up 5.5,Soroka,deGrom,,2:55,N,0.6901968959047926,+,,1,0,1,W,49,34,1,175,5.5,"Friday, Jun 28 1980",0.0
83,331084800,boxscore,ATL,@,NYM,W,5,4,9,50//34,1,up 6.5,Newcomb,Lugo,Jackson,3:39,D,0.77335177850632,++,,1,0,0,W,50,34,2,219,6.5,"Saturday, Jun 29 1980",0.0
84,331171200,boxscore,ATL,@,NYM,L,5,8,9,50//35,1,up 5.5,Font,Newcomb,Diaz,3:27,N,0.6015463624476491,-,,1,0,1,L,50,35,-1,207,5.5,"Sunday, Jun 30 1980",0.0
85,331344000,boxscore,ATL,,PHI,L,0,2,9,50//36,1,up 4.5,Nola,Keuchel,Neris,2:48,N,0.7614319013056908,--,,0,1,1,L,50,36,-2,168,4.5,"Tuesday, Jul 2 1980",0.0
86,331430400,boxscore,ATL,,PHI,W,9,2,9,51//36,1,up 5.5,Wilson,Pivetta,,2:36,N,0.7608065341393622,+,,0,1,1,W,51,36,1,156,5.5,"Wednesday, Jul 3 1980",0.0
87,331516800,boxscore,ATL,,PHI,W,12,6,9,52//36,1,up 6.0,Minter,Eflin,,3:32,N,0.7700164869525669,++,,0,1,1,W,52,36,2,212,6.0,"Thursday, Jul 4 1980",0.0
88,331603200,boxscore,ATL,,MIA,W-wo,1,0,9,53//36,1,up 6.5,Jackson,Quijada,,3:00,N,0.7789042809225113,+++,,1,1,1,W,53,36,3,180,6.5,"Friday, Jul 5 1980",0.0
89,331689600,boxscore,ATL,,MIA,L,4,5,9,53//37,1,up 6.0,Smith,Fried,Romo,3:19,D,0.7052625594572571,-,,1,1,0,L,53,37,-1,199,6.0,"Saturday, Jul 6 1980",0.0
